Intervalo,prec_MN_82331,perc_ ITA_82336,rad_MN_331,rad_ITA_336,tsm_331,tsm_336,haff,LA,EL
2000-01,"350,2","237,8","148,4","146,3","27,3","27,132",0,"-1,7",0
2000-02,"344,4","464,7","148,1","149,7","26,6","26,992",0,"-1,4",0
2000-03,"340,7","453,5","134,5","135,3","26,7","27,088",0,"-1,1",0
2000-04,"535,4","302,6",136,"123,6","27,1","27,292",0,"-0,8",0
2000-05,"172,6","388,1","150,2","140,8","27,4","27,552",0,"-0,7",0
2000-06,"48,2",153,"162,8","152,4","27,7","27,944",0,"-0,6",0
2000-07,"40,8","80,2","154,5","145,6","28,2","28,548",0,"-0,6",0
2000-08,140,"33,9","196,5","181,5","28,8","28,996",0,"-0,5",0
2000-09,"218,1","169,3","182,8","176,2","28,9","29,004",0,"-0,5",0
2000-10,"47,2",65,"194,6","190,4","29,1","28,968",0,"-0,6",0
2000-11,"169,7",96,"192,1","187,2","28,2","28,444",0,"-0,7",0
2000-12,"192,3","194,7","177,8",170,"26,7","27,68",0,"-0,7",0
2001-01,"348,4","526,8","133,4","137,1","26,3","27,132",0,"-0,7",0
2001-02,"219,5","190,8",148,"157,2","26,2","26,992",0,"-0,5",0
2001-03,"216,8","328,2","166,6","158,4","26,2","27,088",0,0,0
2001-04,"188,2","296,3","149,8","146,1","26,7","27,292",0,0,0
2001-05,"231,6","96,1","154,1","140,1",27,"27,552",0,0,0
2001-06,"164,1","229,9",134,"120,9","27,5","27,944",0,0,0
2001-07,"30,6",126,176,"162,3","28,3","28,548",0,0,0
2001-08,"14,9","85,4","211,4","196,9","28,7","28,996",0,0,0
2001-09,"88,2","124,5","200,9","188,1","28,3","29,004",0,0,0
2001-10,"28,1","48,8","219,3","204,2","28,6","28,968",0,0,0
2001-11,55,"109,8","198,8","191,7","28,3","28,444",0,0,0
2001-12,213,"82,2","164,3","148,3","27,4","27,68",0,0,0
2002-01,"380,8","159,2","161,2","158,7","27,3","27,132",0,"-0,1","0,7"
2002-02,"239,9","320,1","161,8","155,4","26,8","26,992",0,"0,2","0,8"
2002-03,"195,3","383,8","157,8",153,"26,9","27,088",0,"0,3","0,9"
2002-04,"376,7","412,1",144,"149,6","27,4","27,292",0,0,1
2002-05,"262,9","269,8","148,6","137,8","27,4","27,552",0,0,"1,2"
2002-06,"159,1","107,2","163,3","154,4","27,7","27,944",0,0,"1,3"
2002-07,"3,4","88,3","184,1","168,2","28,1","28,548",0,0,"1,1"
2002-08,"35,4","108,6","195,5","183,9","28,5","28,996",0,0,0
2002-09,"60,1",23,"228,4","205,3","28,4","29,004",0,0,0
2002-10,"216,1","81,7","206,7","193,5","28,6","28,968",0,0,0
2002-11,"81,2",52,"200,8","188,5",28,"28,444",0,0,0
2002-12,"311,2","372,5",159,154,27,"27,68",0,0,0
2003-01,"105,8","209,3","180,1","169,9","26,6","27,132",0,0,"0,9"
2003-02,"340,9","296,4","165,4","158,9","26,9","26,992",0,0,"0,6"
2003-03,"209,2","388,7","166,9","157,8","26,6","27,088",0,0,0
2003-04,"390,1","332,9","150,8","143,4","26,9","27,292",0,0,0
2003-05,"219,6",267,"151,3","134,5","26,9","27,552",0,0,0
2003-06,"110,7","149,7","153,7","134,7","27,7","27,944",0,0,0
2003-07,93,64,"179,8","167,7","28,4","28,548",0,0,0
2003-08,"118,3","75,1",192,"180,6","29,2","28,996",0,0,0
2003-09,"60,9","118,6","183,9",188,29,"29,004",0,0,0
2003-10,"96,9","7,4","197,3","190,3","28,7","28,968",0,0,0
2003-11,"119,6","67,5","188,2","181,6",28,"28,444",0,0,0
2003-12,"89,9","154,2","182,8","177,6","27,6","27,68",0,0,0
2004-01,"179,6","206,5","168,8","168,6","27,3","27,132",0,0,0
2004-02,"150,6","312,2","151,2","147,4","27,2","26,992",0,0,0
2004-03,"424,2","565,5","139,7","140,6","27,1","27,088",0,0,0
2004-04,"227,2","249,9","141,2",152,"27,7","27,292",0,0,0
2004-05,"422,9","387,7","143,5",134,"27,6","27,552",0,0,0
2004-06,"120,2","134,8","171,8","157,3","27,6","27,944",0,0,0
2004-07,"59,6","39,5","182,1","172,4","28,2","28,548",0,0,"0,5"
2004-08,"141,3","108,3","200,9","190,1",29,"28,996",0,0,"0,6"
2004-09,112,"104,7","191,7","186,2","29,3","29,004",0,0,"0,7"
2004-10,66,"106,1","200,2","189,3","28,7","28,968",0,0,"0,7"
2004-11,"13,3","48,9","208,5","193,8","28,6","28,444",0,0,"0,7"
2004-12,140,"208,2","179,6","176,7","28,5","27,68",0,0,"0,7"
2005-01,"165,7","122,4","165,7","167,3","27,9","27,132",0,0,"0,6"
2005-02,"331,5","305,5","134,9","136,3","27,5","26,992",0,0,"0,6"
2005-03,334,415,"134,3",139,"27,6","27,088",0,0,0
2005-04,"404,8","281,2","150,9","137,9","27,5","27,292",0,0,0
2005-05,"225,5","164,2","151,5","148,7","28,1","27,552",0,0,0
2005-06,"53,5","109,5","177,5","165,5","28,3","27,944",0,0,0
2005-07,"52,4","90,7","185,2","177,6","28,5","28,548",0,0,0
2005-08,"16,2","1,4","197,9","191,8","28,8","28,996",0,0,0
2005-09,"45,9","37,6","217,7","202,7","28,7","29,004",0,0,0
2005-10,"75,2","56,1","208,4","195,7","28,9","28,968",0,0,0
2005-11,"211,6","105,4","178,7",173,"28,3","28,444",0,0,"0,6"
2005-12,"291,8","244,4",147,"146,9","27,8","27,68",0,0,"0,8"
2006-01,"173,3","268,5",155,"150,6","27,2","27,132",0,"-0,9",0
2006-02,"346,4","448,1","140,3","136,6","27,3","26,992",0,"-0,8",0
2006-03,"265,3","489,3","154,9","157,9","27,3","27,088",0,"-0,6",0
2006-04,"252,1","367,7","144,2","142,8","27,5","27,292",0,0,0
2006-05,"382,1","320,2","124,7",117,"27,6","27,552",0,0,0
2006-06,87,"143,4",173,"164,4","27,8","27,944",0,0,0
2006-07,"71,6","48,2","175,4","171,9","28,5","28,548",0,0,0
2006-08,"16,7",null,203,"192,2",29,"28,996",0,0,0
2006-09,"32,8",null,"211,7","196,1",29,"29,004",0,0,"0,5"
2006-10,66,null,"214,3","202,4","28,8","28,968",0,0,"0,8"
2006-11,294,null,"175,1","168,6","28,6","28,444",0,0,"0,9"
2006-12,"317,4","156,4","175,2","167,1","27,9","27,68",0,0,"0,9"
2007-01,"414,4",560,"157,9","155,8","27,5","27,132",0,0,"0,7"
2007-02,"137,7","123,2","180,2","188,1","27,2","26,992",0,0,0
2007-03,336,"358,8","147,5","140,6","27,1","27,088",0,0,0
2007-04,"343,1","353,7","148,5","138,3","27,3","27,292",0,0,0
2007-05,"165,3","216,1","144,9","132,4","27,7","27,552",0,0,0
2007-06,"100,2","148,5","171,9","159,8","27,8","27,944",0,0,0
2007-07,"121,9","137,5","179,4","169,8","28,5","28,548",0,"-0,5",0
2007-08,"133,3","77,2","200,9","191,3","28,6","28,996",0,"-0,6",0
2007-09,"71,7","78,5","207,3","194,8",29,"29,004",0,"-0,8",0
2007-10,"28,5","68,7",189,"181,1","28,1","28,968",0,"-1,1",0
2007-11,"226,2","129,7","185,8","181,3","28,1","28,444",0,"-1,3",0
2007-12,"327,9","214,7","152,4","147,6","27,5","27,68",0,"-1,6",0
2008-01,"397,4","467,8","147,4",149,"26,8","27,132",27,"-1,6",0
2008-02,"298,8","299,9","140,5","137,9","26,8","26,992",0,"-1,5",0
