PONTO,MD_LAT_GD,MD_LON_GD,DATA,ORG,Tag,SAL,TSM,SAL_sat
AI,"-26,77998611","-48,61129444",6/3/1997,pp,18,"34,7",,
AI,"-26,77998611","-48,61129444",6/10/1997,pp,18,"35,3",,
AI,"-26,77998611","-48,61129444",6/24/1997,pp,"19,5","34,3",,
AI,"-26,77998611","-48,61129444",7/8/1997,pp,,,,
AI,"-26,77998611","-48,61129444",7/25/1997,pp,,,,
AI,"-26,77998611","-48,61129444",7/28/1997,pp,,,,
AI,"-26,77998611","-48,61129444",7/29/1997,pp,"18,2",35,,
AI,"-26,77998611","-48,61129444",8/4/1997,pp,"18,5",34,,
AI,"-26,77998611","-48,61129444",8/6/1997,pp,"21,6",34,,
AI,"-26,77998611","-48,61129444",8/18/1997,pp,21,34,,
AI,"-26,77998611","-48,61129444",9/1/1997,pp,21,33,,
AI,"-26,77998611","-48,61129444",9/9/1997,pp,21,26,,
AI,"-26,77998611","-48,61129444",9/23/1997,pp,21,32,,
AI,"-26,77998611","-48,61129444",10/15/1997,pp,22,30,,
AI,"-26,77998611","-48,61129444",11/4/1997,pp,25,30,,
AI,"-26,77998611","-48,61129444",11/20/1997,pp,24,34,,
AI,"-26,77998611","-48,61129444",12/2/1997,pp,25,29,,
AI,"-26,77998611","-48,61129444",12/16/1997,pp,29,29,,
AI,"-26,77998611","-48,61129444",1/7/1998,pp,25,23,,
AI,"-26,77998611","-48,61129444",2/4/1998,pp,23,34,,
AI,"-26,77998611","-48,61129444",2/10/1998,pp,21,25,,
AI,"-26,77998611","-48,61129444",3/3/1998,pp,"24,5",31,,
AI,"-26,77998611","-48,61129444",4/6/1998,pp,21,30,,
AI,"-26,77998611","-48,61129444",4/24/1998,pp,20,35,,
AI,"-26,77998611","-48,61129444",5/4/1998,pp,20,33,,
AI,"-26,77998611","-48,61129444",5/18/1998,pp,18,30,,
AI,"-26,77998611","-48,61129444",6/1/1998,pp,17,30,,
AI,"-26,77998611","-48,61129444",6/11/1998,pp,23,31,,
AI,"-26,77998611","-48,61129444",6/16/1998,pp,22,28,,
AI,"-26,77998611","-48,61129444",7/13/1998,pp,20,33,,
AI,"-26,77998611","-48,61129444",7/24/1998,pp,19,28,,
AI,"-26,77998611","-48,61129444",7/31/1998,pp,22,30,,
AI,"-26,77998611","-48,61129444",8/7/1998,pp,18,29,,
AI,"-26,77998611","-48,61129444",8/10/1998,pp,22,28,,
AI,"-26,77998611","-48,61129444",8/12/1998,pp,20,28,,
AI,"-26,77998611","-48,61129444",8/20/1998,pp,21,30,,
AI,"-26,77998611","-48,61129444",8/28/1998,pp,22,28,,
AI,"-26,77998611","-48,61129444",9/3/1998,pp,"19,6",28,,
AI,"-26,77998611","-48,61129444",9/11/1998,pp,21,27,,
AI,"-26,77998611","-48,61129444",9/22/1998,pp,18,24,,
AI,"-26,77998611","-48,61129444",9/25/1998,pp,18,28,,
AI,"-26,77998611","-48,61129444",10/13/1998,pp,25,28,,
AI,"-26,77998611","-48,61129444",10/20/1998,pp,23,29,,
AI,"-26,77998611","-48,61129444",10/23/1998,pp,25,30,,
AI,"-26,77998611","-48,61129444",10/30/1998,pp,22,29,,
AI,"-26,77998611","-48,61129444",11/12/1998,pp,30,32,,
AI,"-26,77998611","-48,61129444",11/13/1998,pp,23,32,,
AI,"-26,77998611","-48,61129444",11/20/1998,pp,25,32,,
AI,"-26,77998611","-48,61129444",11/27/1998,pp,25,31,,
AI,"-26,77998611","-48,61129444",12/18/1998,pp,24,32,,
AI,"-26,77998611","-48,61129444",1/15/1999,pp,28,32,,
AI,"-26,77998611","-48,61129444",1/22/1999,pp,26,32,,
AI,"-26,77998611","-48,61129444",1/28/1999,pp,25,31,,
AI,"-26,77998611","-48,61129444",2/4/1999,pp,27,33,,
AI,"-26,77998611","-48,61129444",2/10/1999,pp,27,34,,
AI,"-26,77998611","-48,61129444",2/19/1999,pp,26,34,,
AI,"-26,77998611","-48,61129444",2/26/1999,pp,"30,5",31,,
AI,"-26,77998611","-48,61129444",3/17/1999,pp,29,34,,
AI,"-26,77998611","-48,61129444",3/25/1999,pp,25,33,,
AI,"-26,77998611","-48,61129444",4/3/1999,pp,29,30,,
AI,"-26,77998611","-48,61129444",4/13/1999,pp,"22,5",34,,
AI,"-26,77998611","-48,61129444",4/16/1999,pp,24,34,,
AI,"-26,77998611","-48,61129444",4/20/1999,pp,24,"34,4",,
AI,"-26,77998611","-48,61129444",4/22/1999,pp,23,33,,
AI,"-26,77998611","-48,61129444",4/24/1999,pp,23,"33,3",,
AI,"-26,77998611","-48,61129444",4/30/1999,pp,22,"32,2",,
AI,"-26,77998611","-48,61129444",5/1/1999,pp,24,32,,
AI,"-26,77998611","-48,61129444",5/7/1999,pp,17,,,
AI,"-26,77998611","-48,61129444",5/13/1999,pp,21,34,,
AI,"-26,77998611","-48,61129444",5/21/1999,pp,20,,,
AI,"-26,77998611","-48,61129444",5/27/1999,pp,20,"34,6",,
AI,"-26,77998611","-48,61129444",6/17/1999,pp,17,32,,
AI,"-26,77998611","-48,61129444",6/24/1999,pp,19,31,,
AI,"-26,77998611","-48,61129444",7/13/1999,pp,19,29,,
AI,"-26,77998611","-48,61129444",7/20/1999,pp,18,30,,
AI,"-26,77998611","-48,61129444",7/28/1999,pp,"18,5",33,,
AI,"-26,77998611","-48,61129444",8/1/1999,pp,28,32,,
AI,"-26,77998611","-48,61129444",8/3/1999,pp,18,33,,
AI,"-26,77998611","-48,61129444",8/4/1999,pp,24,34,,
AI,"-26,77998611","-48,61129444",8/9/1999,pp,19,33,,
AI,"-26,77998611","-48,61129444",8/17/1999,pp,19,32,,
AI,"-26,77998611","-48,61129444",8/24/1999,pp,19,33,,
AI,"-26,77998611","-48,61129444",8/31/1999,pp,20,33,,
AI,"-26,77998611","-48,61129444",9/1/1999,pp,"25,5",34,,
AI,"-26,77998611","-48,61129444",9/4/1999,pp,20,31,,
AI,"-26,77998611","-48,61129444",9/14/1999,pp,19,"31,6",,
AI,"-26,77998611","-48,61129444",9/21/1999,pp,22,"31,6",,
AI,"-26,77998611","-48,61129444",9/28/1999,pp,"20,5","32,6",,
AI,"-26,77998611","-48,61129444",10/5/1999,pp,"18,5","31,1",,
AI,"-26,77998611","-48,61129444",10/13/1999,pp,20,"30,5",,
AI,"-26,77998611","-48,61129444",10/19/1999,pp,21,"31,5",,
AI,"-26,77998611","-48,61129444",10/26/1999,pp,22,30,,
AI,"-26,77998611","-48,61129444",11/3/1999,pp,27,34,,
AI,"-26,77998611","-48,61129444",11/3/1999,pp,22,31,,
AI,"-26,77998611","-48,61129444",11/6/1999,pp,17,35,,
AI,"-26,77998611","-48,61129444",11/9/1999,pp,21,34,,
AI,"-26,77998611","-48,61129444",11/18/1999,pp,21,32,,
AI,"-26,77998611","-48,61129444",11/23/1999,pp,24,32,,
AI,"-26,77998611","-48,61129444",11/30/1999,pp,25,33,,
AI,"-26,77998611","-48,61129444",12/1/1999,pp,28,34,,
AI,"-26,77998611","-48,61129444",12/7/1999,pp,25,34,,
AI,"-26,77998611","-48,61129444",12/14/1999,pp,24,32,,
AI,"-26,77998611","-48,61129444",12/21/1999,pp,26,33,,
AI,"-26,77998611","-48,61129444",1/14/2000,pp,29,30,,
AI,"-26,77998611","-48,61129444",1/28/2000,pp,28,30,,
AI,"-26,77998611","-48,61129444",2/2/2000,pp,27,34,,
AI,"-26,77998611","-48,61129444",2/10/2000,pp,28,31,,
AI,"-26,77998611","-48,61129444",2/17/2000,pp,20,33,,
AI,"-26,77998611","-48,61129444",2/24/2000,pp,"27,5",35,,
AI,"-26,77998611","-48,61129444",3/2/2000,pp,"26,5",31,,
AI,"-26,77998611","-48,61129444",3/9/2000,pp,26,31,,
AI,"-26,77998611","-48,61129444",3/16/2000,pp,27,32,,
AI,"-26,77998611","-48,61129444",3/23/2000,pp,"28,5",32,,
AI,"-26,77998611","-48,61129444",3/30/2000,pp,25,"34,6",,
AI,"-26,77998611","-48,61129444",4/7/2000,pp,27,35,,
AI,"-26,77998611","-48,61129444",4/19/2000,pp,25,35,,
AI,"-26,77998611","-48,61129444",4/27/2000,pp,25,35,,
AI,"-26,77998611","-48,61129444",5/4/2000,pp,24,35,,
AI,"-26,77998611","-48,61129444",5/11/2000,pp,24,35,,
AI,"-26,77998611","-48,61129444",5/18/2000,pp,22,35,,
AI,"-26,77998611","-48,61129444",5/25/2000,pp,23,35,,
AI,"-26,77998611","-48,61129444",6/1/2000,pp,20,36,,
AI,"-26,77998611","-48,61129444",6/8/2000,pp,20,36,,
AI,"-26,77998611","-48,61129444",6/29/2000,pp,21,36,,
AI,"-26,77998611","-48,61129444",7/6/2000,pp,20,37,,
AI,"-26,77998611","-48,61129444",7/13/2000,pp,"24,5","34,2",,
AI,"-26,77998611","-48,61129444",7/14/2000,pp,,,,
AI,"-26,77998611","-48,61129444",7/20/2000,pp,12,34,,
AI,"-26,77998611","-48,61129444",7/27/2000,pp,15,32,,
AI,"-26,77998611","-48,61129444",8/2/2000,pp,16,31,,
AI,"-26,77998611","-48,61129444",8/7/2000,pp,16,31,,
AI,"-26,77998611","-48,61129444",8/14/2000,pp,16,32,,
AI,"-26,77998611","-48,61129444",8/21/2000,pp,17,"30,2",,
AI,"-26,77998611","-48,61129444",8/28/2000,pp,18,31,,
AI,"-26,77998611","-48,61129444",9/4/2000,pp,17,31,,
AI,"-26,77998611","-48,61129444",9/11/2000,pp,19,31,,
AI,"-26,77998611","-48,61129444",9/18/2000,pp,17,"21,8",,
AI,"-26,77998611","-48,61129444",9/28/2000,pp,"18,5",30,,
AI,"-26,77998611","-48,61129444",10/3/2000,pp,23,"30,5",,
AI,"-26,77998611","-48,61129444",10/9/2000,pp,20,"30,2",,
AI,"-26,77998611","-48,61129444",10/23/2000,pp,24,26,,
AI,"-26,77998611","-48,61129444",10/30/2000,pp,,,,
AI,"-26,77998611","-48,61129444",11/6/2000,pp,"22,5",31,,
AI,"-26,77998611","-48,61129444",11/13/2000,pp,25,,,
AI,"-26,77998611","-48,61129444",11/20/2000,pp,27,"30,7",,
AI,"-26,77998611","-48,61129444",12/4/2000,pp,27,32,,
AI,"-26,77998611","-48,61129444",12/12/2000,pp,27,"32,3",,
AI,"-26,77998611","-48,61129444",12/19/2000,pp,27,32,,
AI,"-26,77998611","-48,61129444",1/9/2001,pp,28,31,,
AI,"-26,77998611","-48,61129444",2/1/2001,pp,30,31,,
AI,"-26,77998611","-48,61129444",2/8/2001,pp,28,31,,
AI,"-26,77998611","-48,61129444",2/15/2001,pp,28,30,,
AI,"-26,77998611","-48,61129444",2/22/2001,pp,29,29,,
AI,"-26,77998611","-48,61129444",3/1/2001,pp,29,30,,
AI,"-26,77998611","-48,61129444",3/8/2001,pp,27,"31,4",,
AI,"-26,77998611","-48,61129444",3/22/2001,pp,28,31,,
AI,"-26,77998611","-48,61129444",3/29/2001,pp,28,33,,
AI,"-26,77998611","-48,61129444",4/19/2001,pp,24,31,,
AI,"-26,77998611","-48,61129444",4/27/2001,pp,25,35,,
AI,"-26,77998611","-48,61129444",5/4/2001,pp,22,33,,
AI,"-26,77998611","-48,61129444",5/10/2001,pp,20,34,,
AI,"-26,77998611","-48,61129444",5/17/2001,,20,30,,
AI,"-26,77998611","-48,61129444",5/24/2001,,22,31,,
AI,"-26,77998611","-48,61129444",5/31/2001,pp,"21,5","26,3",,
AI,"-26,77998611","-48,61129444",6/22/2001,,18,35,,
AI,"-26,77998611","-48,61129444",6/24/2001,pp,19,35,,
AI,"-26,77998611","-48,61129444",7/5/2001,pp,18,34,,
AI,"-26,77998611","-48,61129444",7/11/2001,pp,"23,33333333",34,,
AI,"-26,77998611","-48,61129444",7/13/2001,pp,"17,5","32,5",,
AI,"-26,77998611","-48,61129444",7/17/2001,pp,18,"32,5",,
AI,"-26,77998611","-48,61129444",8/2/2001,pp,18,"31,5",,
AI,"-26,77998611","-48,61129444",8/8/2001,pp,19,"30,54",,
AI,"-26,77998611","-48,61129444",8/15/2001,,"19,5",32,,
AI,"-26,77998611","-48,61129444",8/22/2001,pp,19,31,,
AI,"-26,77998611","-48,61129444",8/29/2001,pp,19,31,,
AI,"-26,77998611","-48,61129444",9/5/2001,pp,20,34,,
AI,"-26,77998611","-48,61129444",9/26/2001,pp,19,"32,33333333",,
AI,"-26,77998611","-48,61129444",10/3/2001,pp,21,29,,
AI,"-26,77998611","-48,61129444",10/10/2001,pp,,,,
AI,"-26,77998611","-48,61129444",10/17/2001,pp,24,"26,9",,
AI,"-26,77998611","-48,61129444",10/24/2001,pp,24,"34,66666667",,
AI,"-26,77998611","-48,61129444",10/31/2001,pp,"23,5","34,83333333",,
AI,"-26,77998611","-48,61129444",11/14/2001,pp,"23,5",33,,
AI,"-26,77998611","-48,61129444",11/21/2001,pp,"23,5",33,,
AI,"-26,77998611","-48,61129444",11/27/2001,pp,"26,33333333","34,33333333",,
AI,"-26,77998611","-48,61129444",12/10/2001,pp,25,33,,
AI,"-26,77998611","-48,61129444",1/9/2002,pp,"27,66666667","33,66666667",,
AI,"-26,77998611","-48,61129444",1/16/2002,pp,28,33,,
AI,"-26,77998611","-48,61129444",1/24/2002,pp,"28,16666667",34,,
AI,"-26,77998611","-48,61129444",1/31/2002,pp,30,34,,
AI,"-26,77998611","-48,61129444",3/14/2002,pp,"29,66666667",34,,
AI,"-26,77998611","-48,61129444",3/21/2002,pp,29,"32,73333333",,
AI,"-26,77998611","-48,61129444",3/27/2002,pp,"28,5","34,1",,
AI,"-26,77998611","-48,61129444",4/10/2002,pp,"26,66666667","32,46666667",,
AI,"-26,77998611","-48,61129444",4/17/2002,pp,"27,33333333","34,66666667",,
AI,"-26,77998611","-48,61129444",4/24/2002,pp,"26,5",34,,
AI,"-26,77998611","-48,61129444",4/30/2002,pp,"24,5","34,3",,
AI,"-26,77998611","-48,61129444",5/8/2002,pp,"24,16666667","34,46666667",,
AI,"-26,77998611","-48,61129444",5/15/2002,pp,26,"33,4",,
AI,"-26,77998611","-48,61129444",5/22/2002,pp,23,"33,1",,
AI,"-26,77998611","-48,61129444",5/29/2002,pp,23,"33,3",,
AI,"-26,77998611","-48,61129444",6/5/2002,pp,23,"33,2",,
AI,"-26,77998611","-48,61129444",6/21/2002,pp,20,"34,66666667",,
AI,"-26,77998611","-48,61129444",6/25/2002,pp,18,35,,
AI,"-26,77998611","-48,61129444",7/3/2002,pp,20,"30,46666667",,
AI,"-26,77998611","-48,61129444",7/10/2002,pp,"18,66666667","31,5",,
AI,"-26,77998611","-48,61129444",7/17/2002,pp,19,"30,83333333",,
AI,"-26,77998611","-48,61129444",7/24/2002,pp,"18,83333333",31,,
AI,"-26,77998611","-48,61129444",8/7/2002,pp,"18,16666667","25,03333333",,
AI,"-26,77998611","-48,61129444",8/21/2002,pp,"20,5",30,,
AI,"-26,77998611","-48,61129444",8/28/2002,pp,23,30,,
AI,"-26,77998611","-48,61129444",9/4/2002,pp,19,"31,23333333",,
AI,"-26,77998611","-48,61129444",9/11/2002,pp,"20,5","31,1",,
AI,"-26,77998611","-48,61129444",9/18/2002,pp,"20,33333333","28,66666667",,
AI,"-26,77998611","-48,61129444",9/25/2002,pp,20,"28,76666667",,
AI,"-26,77998611","-48,61129444",10/2/2002,pp,"21,16666667","30,76666667",,
AI,"-26,77998611","-48,61129444",10/16/2002,pp,"25,23333333","29,06666667",,
AI,"-26,77998611","-48,61129444",10/23/2002,pp,"22,16666667","31,33333333",,
AI,"-26,77998611","-48,61129444",10/30/2002,pp,"23,66666667",32,,
AI,"-26,77998611","-48,61129444",11/20/2002,pp,"25,33333333","31,1",,
AI,"-26,77998611","-48,61129444",11/27/2002,pp,"25,36666667","31,23333333",,
AI,"-26,77998611","-48,61129444",12/11/2002,pp,"24,56666667","28,5",,
AI,"-26,77998611","-48,61129444",12/18/2002,pp,"26,43333333","30,03333333",,
AI,"-26,77998611","-48,61129444",2/5/2003,pp,"27,23333333","31,66666667",,
AI,"-26,77998611","-48,61129444",2/19/2003,pp,"28,1","32,76666667",,
AI,"-26,77998611","-48,61129444",3/19/2003,pp,"28,83333333","31,6",,
AI,"-26,77998611","-48,61129444",4/2/2003,pp,"25,46666667","31,86666667",,
AI,"-26,77998611","-48,61129444",4/9/2003,pp,"26,3","32,63333333",,
AI,"-26,77998611","-48,61129444",4/16/2003,pp,"25,16666667","32,03333333",,
AI,"-26,77998611","-48,61129444",5/14/2003,pp,"21,5",31,,
AI,"-26,77998611","-48,61129444",5/21/2003,pp,"22,8","30,8",,
AI,"-26,77998611","-48,61129444",5/28/2003,pp,"20,9","32,16666667",,
AI,"-26,77998611","-48,61129444",6/4/2003,pp,"21,03333333",33,,
AI,"-26,77998611","-48,61129444",6/11/2003,pp,"20,3","30,76666667",,
AI,"-26,77998611","-48,61129444",6/18/2003,pp,"20,56666667","31,33333333",,
AI,"-26,77998611","-48,61129444",7/2/2003,pp,"20,46666667","31,43333333",,
AI,"-26,77998611","-48,61129444",7/9/2003,pp,20,"32,66666667",,
AI,"-26,77998611","-48,61129444",7/23/2003,pp,20,32,,
AI,"-26,77998611","-48,61129444",7/29/2003,pp,"21,13333333",32,,
AI,"-26,77998611","-48,61129444",8/6/2003,pp,"20,2",31,,
AI,"-26,77998611","-48,61129444",8/13/2003,pp,"18,83333333",34,,
AI,"-26,77998611","-48,61129444",8/20/2003,pp,"20,16666667","33,66666667",,
AI,"-26,77998611","-48,61129444",8/27/2003,pp,20,34,,
AI,"-26,77998611","-48,61129444",9/3/2003,pp,20,"32,5",,
AI,"-26,77998611","-48,61129444",9/10/2003,pp,19,"32,33333333",,
AI,"-26,77998611","-48,61129444",9/17/2003,pp,"19,83333333","31,66666667",,
AI,"-26,77998611","-48,61129444",9/24/2003,pp,22,"30,66666667",,
AI,"-26,77998611","-48,61129444",10/1/2003,pp,22,32,,
AI,"-26,77998611","-48,61129444",10/8/2003,pp,"21,66666667","31,83333333",,
AI,"-26,77998611","-48,61129444",10/15/2003,pp,"22,16666667","31,83333333",,
AI,"-26,77998611","-48,61129444",10/22/2003,pp,"22,5","32,33333333",,
AI,"-26,77998611","-48,61129444",10/29/2003,pp,"22,33333333","31,63333333",,
AI,"-26,77998611","-48,61129444",11/5/2003,pp,22,"30,33333333",,
AI,"-26,77998611","-48,61129444",11/12/2003,pp,25,"31,83333333",,
AI,"-26,77998611","-48,61129444",11/19/2003,pp,26,"34,66666667",,
AI,"-26,77998611","-48,61129444",11/26/2003,pp,"25,33333333","33,5",,
AI,"-26,77998611","-48,61129444",12/3/2003,pp,"27,73333333","30,83333333",,
AI,"-26,77998611","-48,61129444",12/10/2003,pp,"25,83333333",32,,
AI,"-26,77998611","-48,61129444",1/16/2004,pp,"27,33333333","28,5",,
AI,"-26,77998611","-48,61129444",1/20/2004,pp,21,31,,
AI,"-26,77998611","-48,61129444",1/28/2004,,,,,
AI,"-26,77998611","-48,61129444",2/5/2004,pp,30,31,,
AI,"-26,77998611","-48,61129444",2/12/2004,pp,28,32,,
AI,"-26,77998611","-48,61129444",2/19/2004,pp,27,33,,
AI,"-26,77998611","-48,61129444",2/26/2004,pp,28,32,,
AI,"-26,77998611","-48,61129444",3/4/2004,pp,"26,16666667",34,,
AI,"-26,77998611","-48,61129444",3/11/2004,pp,"26,5",35,,
AI,"-26,77998611","-48,61129444",3/18/2004,pp,"26,5","34,66666667",,
AI,"-26,77998611","-48,61129444",3/25/2004,pp,26,32,,
AI,"-26,77998611","-48,61129444",4/1/2004,pp,"26,16666667",33,,
AI,"-26,77998611","-48,61129444",4/15/2004,pp,"27,43333333","34,33333333",,
AI,"-26,77998611","-48,61129444",4/22/2004,pp,"25,5","33,86666667",,
AI,"-26,77998611","-48,61129444",4/29/2004,pp,"24,13333333","34,2",,
AI,"-26,77998611","-48,61129444",5/6/2004,pp,"22,63333333","34,4",,
AI,"-26,77998611","-48,61129444",5/12/2004,pp,"21,86666667","33,93333333",,
AI,"-26,77998611","-48,61129444",5/20/2004,pp,"20,76666667","34,66666667",,
AI,"-26,77998611","-48,61129444",5/27/2004,pp,"19,93333333","34,7",,
AI,"-26,77998611","-48,61129444",6/2/2004,pp,"19,56666667","33,9",,
AI,"-26,77998611","-48,61129444",6/9/2004,pp,"19,43333333","34,46666667",,
AI,"-26,77998611","-48,61129444",6/17/2004,pp,"19,26666667","34,63333333",,
AI,"-26,77998611","-48,61129444",6/24/2004,pp,"20,16666667","34,1",,
AI,"-26,77998611","-48,61129444",7/1/2004,pp,"21,46666667","33,43333333",,
AI,"-26,77998611","-48,61129444",7/8/2004,pp,"19,73333333","33,53333333",,
AI,"-26,77998611","-48,61129444",7/22/2004,pp,"17,96666667","30,3",,
AI,"-26,77998611","-48,61129444",7/29/2004,pp,"18,8","31,76666667",,
AI,"-26,77998611","-48,61129444",8/5/2004,pp,"19,36666667","33,4",,
AI,"-26,77998611","-48,61129444",8/12/2004,pp,"18,63333333","33,7",,
